timestamp,cpu_percent,memory_mb,blink_count,frown_count,too_close_count,fps,latency
1735831891.3082864,0.0,282.859375,0,0,0,0,0
1735831892.3094168,9.0,302.93359375,0,0,0,0,0
1735831893.3106687,8.0,302.97265625,0,0,0,0,0
1735831894.3118918,11.0,303.234375,0,0,0,0,0
1735831895.3134089,10.0,303.234375,0,0,0,0,0
1735831896.3146358,7.0,303.234375,0,0,0,0,0
1735831897.3158357,9.0,303.23828125,0,0,0,0,0
1735831898.3173707,8.0,303.5,0,0,0,0,0
1735831899.3188086,8.0,305.51953125,0,0,0,0,0
1735831900.3199823,11.0,305.52734375,0,0,0,0,0
1735831901.3213537,8.0,305.5390625,0,0,0,0,0
1735831902.3225698,8.0,305.5390625,0,0,0,0,0
1735831903.3237958,10.0,305.54296875,0,0,0,0,0
1735831904.3252323,8.0,305.55078125,0,0,0,0,0
1735831905.3265686,8.0,305.5546875,0,0,0,0,0
1735831906.3278584,10.0,305.5546875,0,0,0,0,0
1735831907.3290777,8.0,305.5546875,0,0,0,0,0

Summary:
Blinks Detected: 3
Frowns Detected: 0
Too Close Count: 0
Precision (Blink): 0.60
Recall (Blink): 0.60
Precision (Frown): 0.00
Recall (Frown): 0.00
Precision (Too Close): 0.00
Recall (Too Close): 0.00
Average FPS: 8.81
Total Latency: 1080.60 ms
