timestamp,cpu_percent,memory_mb,blink_count,frown_count,too_close_count,fps,latency
1735833003.2580142,0.0,300.40625,0,0,0,0,0
1735833004.2591634,10.0,319.01953125,0,0,0,0,0
1735833005.260378,9.0,320.88671875,0,0,0,0,0
1735833006.2615955,13.0,321.140625,0,0,0,0,0
1735833007.2632017,7.0,321.140625,0,0,0,0,0
1735833008.2638555,10.0,321.25390625,0,0,0,0,0
1735833009.265074,10.0,321.26171875,0,0,0,0,0
1735833010.2663505,8.0,321.265625,0,0,0,0,0
1735833011.2675922,9.0,321.3203125,0,0,0,0,0
1735833012.2687619,10.0,321.4921875,0,0,0,0,0
1735833013.2700849,7.0,323.51171875,0,0,0,0,0
1735833014.27131,10.0,323.53515625,0,0,0,0,0
1735833015.2725942,10.0,323.56640625,0,0,0,0,0
1735833016.2738574,7.0,323.5859375,0,0,0,0,0
1735833017.2750537,10.0,323.58984375,0,0,0,0,0
1735833018.2764766,9.0,323.59375,0,0,0,0,0
1735833019.2777882,8.0,323.6015625,0,0,0,0,0
1735833020.2790139,9.0,323.6015625,0,0,0,0,0
1735833021.2802281,9.0,323.61328125,0,0,0,0,0
1735833022.2815056,9.0,323.62890625,0,0,0,0,0
1735833023.2822263,10.0,323.6484375,0,0,0,0,0
1735833024.283431,9.0,323.65625,0,0,0,0,0
1735833025.283855,8.0,323.66796875,0,0,0,0,0
1735833026.2851713,10.0,323.6796875,0,0,0,0,0
1735833027.2865179,9.0,323.68359375,0,0,0,0,0
1735833028.2877975,8.0,323.68359375,0,0,0,0,0
1735833029.2889757,11.0,323.68359375,0,0,0,0,0
1735833030.2901692,9.0,323.68359375,0,0,0,0,0
1735833031.2913373,6.0,323.68359375,0,0,0,0,0
1735833032.2926059,11.0,323.68359375,0,0,0,0,0
1735833033.293868,10.0,323.68359375,0,0,0,0,0
1735833034.2951262,6.0,323.6875,0,0,0,0,0
1735833035.2962728,11.0,323.69140625,0,0,0,0,0
1735833036.2974906,10.0,323.703125,0,0,0,0,0
1735833037.2987406,7.0,323.72265625,0,0,0,0,0
1735833038.300051,11.0,323.72265625,0,0,0,0,0
1735833039.3012412,9.0,323.72265625,0,0,0,0,0

Summary:
Blinks Detected: 3
Frowns Detected: 184
Too Close Count: 0
Precision (Blink): 0.60
Recall (Blink): 0.60
Precision (Frown): 92.00
Recall (Frown): 92.00
Precision (Too Close): 0.00
Recall (Too Close): 0.00
Average FPS: 8.93
Total Latency: 1944.84 ms
